ID;code;description
8bf19140-e250-47c3-80d1-8388dfe86c59;P;Preparación
2381adef-6d1f-491e-a5dc-c7724c10138d;E;Ejecución
2ad67895-87ae-4874-ac9d-bc4f9ef3effc;D;Desmontaje
5db2ca79-9787-4a81-b462-a47ecd7289f6;V;Variable
