ID;code;description
427ef85a-aef2-464b-89f6-6a3ce64f2e01;E;Esta es la actividad (única en el puesto de trabajo) que marca el tiempo de funcionamiento de cara a un OEE de disponibilidad
427ef85a-aef2-464b-89f6-6a3ce64f2e02;P;Esta actividad marca tiempo de preparación/desmontaje de cara a un OEE
427ef85a-aef2-464b-89f6-6a3ce64f2e03;;No relevante para OEE
